[2026-09-20 20:48:13] prueba
[2026-09-20 20:48:20] prueba
[2026-09-20 20:48:20] prueba
[2026-09-20 20:48:25] prueba
[2026-09-20 20:48:29] prueba
[2026-09-20 20:48:32] prueba
[2026-09-20 20:48:36] prueba
[2026-09-20 20:48:41] prueba
[2026-09-20 20:48:43] prueba
[2026-09-20 20:48:47] prueba
[2026-09-20 20:48:52] prueba
[2026-09-20 20:48:55] prueba
[2026-09-20 20:48:59] prueba
[2026-09-20 20:49:04] prueba
[2026-09-20 20:49:06] prueba
[2026-09-20 21:28:11] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:28:11] p_stRxHubStatus->TimeRunning (553)Seg
[2026-09-20 21:28:11] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:28:11] p_stRxHubStatus->netcurrent (221)mA
[2026-09-20 21:28:18] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:28:18] p_stRxHubStatus->TimeRunning (560)Seg
[2026-09-20 21:28:18] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:28:18] p_stRxHubStatus->netcurrent (351)mA
[2026-09-20 21:28:30] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:28:30] p_stRxHubStatus->TimeRunning (569)Seg
[2026-09-20 21:28:30] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:28:30] p_stRxHubStatus->netcurrent (367)mA
[2026-09-20 21:28:38] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:28:38] p_stRxHubStatus->TimeRunning (575)Seg
[2026-09-20 21:28:38] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:28:38] p_stRxHubStatus->netcurrent (86)mA
[2026-09-20 21:28:45] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:28:45] p_stRxHubStatus->TimeRunning (582)Seg
[2026-09-20 21:28:45] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:28:45] p_stRxHubStatus->netcurrent (308)mA
[2026-09-20 21:28:53] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:28:53] p_stRxHubStatus->TimeRunning (588)Seg
[2026-09-20 21:28:53] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:28:53] p_stRxHubStatus->netcurrent (302)mA
[2026-09-20 21:29:01] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:29:01] p_stRxHubStatus->TimeRunning (594)Seg
[2026-09-20 21:29:01] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:29:01] p_stRxHubStatus->netcurrent (372)mA
[2026-09-20 21:29:09] p_stRxHubStatus->HubStatus (C7)
[2026-09-20 21:29:09] p_stRxHubStatus->TimeRunning (600)Seg
[2026-09-20 21:29:09] p_stRxHubStatus->netvoltage (219)V
[2026-09-20 21:29:09] p_stRxHubStatus->netcurrent (200)mA
